,region,day,production_price_change,demand_exceedance,capacity_utilization_change
42,NJ,42,0.015704822435346655,0.042135482251038914,-9.992245893053475e-05
43,NJ,43,0.003074488610930848,0.023926848119476762,0.004563818008006537
44,NJ,44,0.008479170423035587,0.01729064792021595,0.007356733713940411
45,NJ,45,0.009201552339313857,0.01327047922132052,0.007473766728156361
46,NJ,46,0.009103744968505634,0.010406777441279713,0.006866897065904265
47,NJ,47,0.008800823567806093,0.006568721333726435,0.006458004858695077
48,NJ,48,0.009511699623624859,0.004850041257839166,0.005824521266801996
49,NJ,49,0.009516108379893584,0.003934822490536671,0.0041629633778201836
50,NJ,50,0.007376098857121649,0.004816560114121904,0.0030037798761912704
51,NJ,51,0.006449780722073362,0.004216315919644664,0.002579449842273318
52,NJ,52,0.004849218138237799,0.0033919345175630333,0.0035903607873650767
53,NJ,53,0.005850360756578743,0.0034220202206061145,0.0029258105066976015
54,NJ,54,0.004735688109841041,0.002147222079519562,0.0030374312070033938
55,NJ,55,0.005580273390528578,0.0015506449166491354,0.0015669139491696349
56,NJ,56,0.0030473106217308032,0.0017035748802263218,0.0010619025978848562
57,NJ,57,0.0035213101824842497,0.0012660278627589783,0.001035962372812227
58,NJ,58,-0.004036990581098632,0.006380978503053303,0.000980068625225483
59,NJ,59,-0.005856477512910074,0.0022236023781403436,0.002492199276321605
60,NJ,60,0.0011928680598096708,0.0023236887639157544,0.002024214223395493
61,NJ,61,-0.0041983238493149555,0.0021882437920031084,0.001866343734858944
62,NJ,62,-0.004702417813476578,0.002500564955064233,0.0017022049954360519
63,NJ,63,-0.004994596021820064,0.0032642406378893263,0.001854019068980195
64,NJ,64,-0.004882966396678956,0.00423770072118379,0.002182336769731341
65,NJ,65,-2.4105042625621742e-05,0.005184571296998897,0.0026836853855676246
66,NJ,66,-5.628462871076767e-05,0.0028488751735877837,0.0025532021728156273
67,NJ,67,-0.0004765564368681696,0.0019411791914429877,0.0025350344099390743
68,NJ,68,-0.0009240390819518218,0.002792627707191242,0.0019411791914427656
69,NJ,69,-0.002441108616410559,0.002029678603864271,0.002388283923477008
70,NJ,70,-0.0011009373544995649,0.0020066995325502823,0.002029678603864049
71,NJ,71,-0.0010800807029814896,0.0019755358669741874,0.002006691861236476
72,NJ,72,-0.0009799901805438438,0.0021029856770125033,0.0019755358669739653
73,NJ,73,-0.0013047564210880713,0.002072467099174524,0.0021010845860136573
74,NJ,74,-0.001275138942221532,0.0021310536188388074,0.00207244443392951
75,NJ,75,-0.0012372265991705822,0.0021359412917156817,0.002131030953593571
76,NJ,76,-0.0011918677736186822,0.002130416551110237,0.002135845748991061
77,NJ,77,-0.0009691830129576751,0.0019794883369796956,0.002130398070218087
78,NJ,78,-0.0009518523749268981,0.0018861971431018976,0.0019794698560873236
79,NJ,79,-0.00134096225163427,0.0019622495004449902,0.0018861165943084846
80,NJ,80,-0.0014258058704543775,0.0018838005549814962,0.0019218352767065294
81,NJ,81,-0.0010381808987321994,0.0018476177581081554,0.0018837820740891242
82,NJ,82,-0.0010108787282953058,0.001788741820701878,0.0018475992772160055
83,NJ,83,-0.0009570451124268908,0.0017342584077468803,0.001788723339809728
84,NJ,84,-0.0009363061270385442,0.0016818584538376147,0.0017342399268547304
85,NY,0,0.0,2.220446049250313e-16,0.0
86,NY,1,0.0,2.220446049250313e-16,0.0
87,NY,2,0.0,2.220446049250313e-16,0.0
88,NY,3,0.0,2.220446049250313e-16,0.0
89,NY,4,0.0,2.220446049250313e-16,0.0
90,NY,5,4.440892098500626e-16,3.5418182990319416,0.010000001479545828
91,NY,6,0.020744765016496913,2.0312820408814933,0.012333052895081131
92,NY,7,0.03135203890795779,1.4659252930396485,0.01491862588231907
93,NY,8,0.03791014878694665,1.1087124031370816,0.016764104089227683
94,NY,9,0.042684069438690964,0.8774008518182368,0.016354827213348466
95,NY,10,0.045402836062157004,0.7058483552834922,0.01873598960879752
96,NY,11,0.04835417476230397,0.5784032022288521,0.019524165059108922
97,NY,12,0.050408389830863154,0.4824732701684471,0.020144383739884697
98,NY,13,0.05211467177213058,0.4012494373505746,0.020575751642333495
99,NY,14,0.05350701865654872,0.33864095627813673,0.020936161423603883
100,NY,15,0.05467284209025447,0.28815057020153123,0.021207329232862726
101,NY,16,0.05563847652191023,0.24788238279525077,0.021428588040815155
102,NY,17,0.056451172787327586,0.22257503845692805,0.021604879591684556
103,NY,18,0.057161292851757084,0.20103257293761945,0.021745500039687338
104,NY,19,0.057776699661471476,0.18180432850464578,0.021859524987093204
105,NY,20,0.05830095500550536,0.16147057379333796,0.021949450192444875
106,NY,21,0.05872643656363952,0.14150700061882304,0.022014347910254806
107,NY,22,0.05907761579782811,0.12511737354850316,0.022058355516973327
108,NY,23,0.059363124797261246,0.11054386309347741,0.022087542929436266
109,NY,24,0.05959164373489845,0.09798894248224044,0.02209253632058239
110,NY,25,0.059787095443845306,0.08605229788514035,0.022116389374217116
111,NY,26,0.05995302192431118,0.07689924877632648,0.022120768143886638
112,NY,27,0.06008265295873927,0.06788104175877852,0.022116469355893065
113,NY,28,0.0601885714404391,0.06001756294882021,0.02210710215326217
114,NY,29,0.060271603731059775,0.05199168378540664,0.022092663342650365
115,NY,30,0.06033140947822635,0.04624876453959659,0.021783545589854958
116,NY,31,0.06037139205783659,0.03969995297304485,0.021173713404304184
117,NY,32,0.060400531193022244,0.030983319881635385,0.02049859212680505
118,NY,33,0.05808065235870452,0.033209408915364946,0.016134439746305906
