,region,forcing_duration,initial_intensity_factor,day,consumption
342,US.NJ,120,1.0,27,-0.5472893061600148
343,US.NJ,120,1.0,28,-0.6186787285467399
344,US.NJ,120,1.0,29,-0.6895497837711373
345,US.NJ,120,1.0,30,-0.76075060030798
346,US.NJ,120,1.0,31,-0.8318165545370793
347,US.NJ,120,1.0,32,-0.9035718609448851
348,US.NJ,120,1.0,33,-0.9770806290794964
349,US.NJ,120,1.0,34,-1.0468218112879568
350,US.NJ,120,1.0,35,-1.1162507271543887
351,US.NJ,120,1.0,36,-1.184156384897217
352,US.NJ,120,1.0,37,-1.2501609435012329
353,US.NJ,120,1.0,38,-1.3153530558183246
354,US.NJ,120,1.0,39,-1.3760972921734838
355,US.NJ,120,1.0,40,-1.4355752199162741
356,US.NJ,120,1.0,41,-1.4942353521905094
357,US.NJ,120,1.0,42,-1.5484220582942965
358,US.NJ,120,1.0,43,-1.5988934745884475
359,US.NJ,120,1.0,44,-1.645339977855964
360,US.NJ,120,1.0,45,-1.680732114165695
361,US.NJ,120,1.0,46,-1.7053304201270936
362,US.NJ,120,1.0,47,-1.6936176633122857
363,US.NJ,120,1.0,48,-1.668576193388649
364,US.NJ,120,1.0,49,-1.6372431419362177
365,US.NJ,120,1.0,50,-1.601862144510502
366,US.NJ,120,1.0,51,-1.5535393371341466
367,US.NJ,120,1.0,52,-1.5054111770362866
368,US.NJ,120,1.0,53,-1.4372704070294562
369,US.NJ,120,1.0,54,-1.3721942146241228
370,US.NJ,120,1.0,55,-1.2906789802729302
371,US.NJ,120,1.0,56,-1.2150564043666656
372,US.NJ,120,1.0,57,-1.1384703464578427
373,US.NJ,120,1.0,58,-1.062420654134122
374,US.NJ,120,1.0,59,-0.9954504738548975
375,US.NJ,120,1.0,60,-0.9275309082399152
376,US.NJ,120,1.0,61,-0.8574198143912692
377,US.NJ,120,1.0,62,-0.7883008993311624
378,US.NJ,120,1.0,63,-0.7311007789745805
379,US.NJ,120,1.0,64,-0.6702642849697904
380,US.NJ,120,1.0,65,-0.6252183233068975
381,US.NJ,120,1.0,66,-0.5750659699619964
382,US.NJ,120,1.0,67,-0.5372278731693325
383,US.NJ,120,1.0,68,-0.4965233072888542
384,US.NJ,120,1.0,69,-0.4628744377951244
385,US.NJ,120,1.0,70,-0.4292676065755674
386,US.NJ,120,1.0,71,-0.39268732263628703
387,US.NJ,120,1.0,72,-0.35490070385003625
388,US.NJ,120,1.0,73,-0.3137722310610491
389,US.NJ,120,1.0,74,-0.2806142276430834
390,US.NJ,120,1.0,75,-0.2443509928435117
391,US.NJ,120,1.0,76,-0.2109426477268972
392,US.NJ,120,1.0,77,-0.1788588229047261
393,US.NJ,120,1.0,78,-0.14809221831741937
394,US.NJ,120,1.0,79,-0.11301738287357033
395,US.NJ,120,1.0,80,-0.08693647256873271
396,US.NJ,120,1.0,81,-0.05530984544406259
397,US.NJ,120,1.0,82,-0.034730851601516566
398,US.NJ,120,1.0,83,-0.011785191026747466
399,US.NJ,120,1.0,84,0.006775902723554772
400,US.NJ,120,1.0,85,0.027175793379985436
401,US.NJ,120,1.0,86,0.041016454633213684
402,US.NJ,120,1.0,87,0.0552563536280859
403,US.NJ,120,1.0,88,0.0673393367408126
404,US.NJ,120,1.0,89,0.07699788196007251
405,US.NJ,120,1.0,90,0.085084334174379
406,US.NJ,120,1.0,91,0.09214569440045839
407,US.NJ,120,1.0,92,0.09782841320067348
408,US.NJ,120,1.0,93,0.10223928541226446
409,US.NJ,120,1.0,94,0.10557516091793673
410,US.NJ,120,1.0,95,0.10743214504147502
411,US.NJ,120,1.0,96,0.10916269968475056
412,US.NJ,120,1.0,97,0.11017948470861683
413,US.NJ,120,1.0,98,0.1106483876740727
414,US.NJ,120,1.0,99,0.11066468694505005
415,US.NJ,120,1.0,100,0.1099979271921292
416,US.NJ,120,1.0,101,0.1096535028289658
417,US.NJ,120,1.0,102,0.10797562189150955
418,US.NJ,120,1.0,103,0.10650824698272832
419,US.NJ,120,1.0,104,0.10506044378539858
420,US.NY,60,1.0,0,0.0
421,US.NY,60,1.0,1,0.0
422,US.NY,60,1.0,2,0.0
423,US.NY,60,1.0,3,0.0
424,US.NY,60,1.0,4,0.0
425,US.NY,60,1.0,5,0.0
426,US.NY,60,1.0,6,0.0
427,US.NY,60,1.0,7,-0.005348438723451476
428,US.NY,60,1.0,8,0.008854856454809656
429,US.NY,60,1.0,9,0.014152474283735117
430,US.NY,60,1.0,10,0.02807336755699108
431,US.NY,60,1.0,11,0.02896651615713619
432,US.NY,60,1.0,12,0.024926777686973267
433,US.NY,60,1.0,13,0.0146903494905537
434,US.NY,60,1.0,14,-0.005341445250706123
435,US.NY,60,1.0,15,-0.030053665184681666
436,US.NY,60,1.0,16,-0.05101218217284931
437,US.NY,60,1.0,17,-0.08578350470413998
438,US.NY,60,1.0,18,-0.1111133652547669
439,US.NY,60,1.0,19,-0.14991618839329535
440,US.NY,60,1.0,20,-0.18321278413488962
441,US.NY,60,1.0,21,-0.2225443237685698
442,US.NY,60,1.0,22,-0.2621532877465915
443,US.NY,60,1.0,23,-0.30224733990042996
444,US.NY,60,1.0,24,-0.34232705667951446
445,US.NY,60,1.0,25,-0.38221282280680446
446,US.NY,60,1.0,26,-0.42180073170317023
447,US.NY,60,1.0,27,-0.46137236397610915
448,US.NY,60,1.0,28,-0.4996517966094016
449,US.NY,60,1.0,29,-0.5369839496701889
450,US.NY,60,1.0,30,-0.5726481221479895
451,US.NY,60,1.0,31,-0.6072901276528708
452,US.NY,60,1.0,32,-0.640561586713051
453,US.NY,60,1.0,33,-0.6723635703100528
454,US.NY,60,1.0,34,-0.7015268992163759
455,US.NY,60,1.0,35,-0.7284725008506965
456,US.NY,60,1.0,36,-0.7538724454556611
457,US.NY,60,1.0,37,-0.777311380480572
458,US.NY,60,1.0,38,-0.798621562130597
459,US.NY,60,1.0,39,-0.818616746913059
460,US.NY,60,1.0,40,-0.8304976616060777
461,US.NY,60,1.0,41,-0.8300914926548053
462,US.NY,60,1.0,42,-0.8232295519440047
463,US.NY,60,1.0,43,-0.7988977918603868
464,US.NY,60,1.0,44,-0.7636015108922534
465,US.NY,60,1.0,45,-0.7194495521717914
466,US.NY,60,1.0,46,-0.6738002934239762
467,US.NY,60,1.0,47,-0.6289342040731283
468,US.NY,60,1.0,48,-0.5859605584040195
469,US.NY,60,1.0,49,-0.5409967346492683
470,US.NY,60,1.0,50,-0.495168408156077
471,US.NY,60,1.0,51,-0.44603480715849075
472,US.NY,60,1.0,52,-0.4048833469021407
473,US.NY,60,1.0,53,-0.36335618036588135
474,US.NY,60,1.0,54,-0.32646655733712393
475,US.NY,60,1.0,55,-0.29439222650765595
476,US.NY,60,1.0,56,-0.2655691387614345
477,US.NY,60,1.0,57,-0.23899501248048072
478,US.NY,60,1.0,58,-0.2152190717099045
479,US.NY,60,1.0,59,-0.193586667669432
480,US.NY,60,1.0,60,-0.17271135060800136
481,US.NY,60,1.0,61,-0.15263085043552005
482,US.NY,60,1.0,62,-0.13171879897628802
483,US.NY,60,1.0,63,-0.11052280256820257
484,US.NY,60,1.0,64,-0.09119891650649636
485,US.NY,60,1.0,65,-0.07253946013181523
486,US.NY,60,1.0,66,-0.05540059876845138
487,US.NY,60,1.0,67,-0.03859077905367103
488,US.NY,60,1.0,68,-0.023021765664543725
489,US.NY,60,1.0,69,-0.00804533087406245
490,US.NY,60,1.0,70,0.005487038900509056
491,US.NY,60,1.0,71,0.017979521586153346
492,US.NY,60,1.0,72,0.029104519026912357
493,US.NY,60,1.0,73,0.03988748338572545
494,US.NY,60,1.0,74,0.04883907873229898
495,US.NY,60,1.0,75,0.056838367170097825
496,US.NY,60,1.0,76,0.06387753392882445
497,US.NY,60,1.0,77,0.06982484786517418
498,US.NY,60,1.0,78,0.07521853261518441
499,US.NY,60,1.0,79,0.07970709773161833
500,US.NY,60,1.0,80,0.08350813727948658
501,US.NY,60,1.0,81,0.08661241788372465
502,US.NY,60,1.0,82,0.08912327370402817
503,US.NY,60,1.0,83,0.09104381571578557
504,US.NY,60,1.0,84,0.09261468408994222
505,US.NY,60,1.0,85,0.09353543326406921
506,US.NY,60,1.0,86,0.09408878868455428
507,US.NY,60,1.0,87,0.09431056390054593
508,US.NY,60,1.0,88,0.09418463161541268
509,US.NY,60,1.0,89,0.0938135793547179
510,US.NY,60,1.0,90,0.09315482408687181
511,US.NY,60,1.0,91,0.09229938050885345
512,US.NY,60,1.0,92,0.09129251953501338
513,US.NY,60,1.0,93,0.09015238437406481
514,US.NY,60,1.0,94,0.08890386282935925
515,US.NY,60,1.0,95,0.08761362932616645
516,US.NY,60,1.0,96,0.0862600563633853
517,US.NY,60,1.0,97,0.08490120718627203
