,region,consumption_deviation,consumption_loss
LIE,LIE,0.00021492057475918345,3.5489999998826534
LKA,LKA,0.008468939697067692,1650.2900000028312
LSO,LSO,0.012699912411766327,132.64200000010896
LTU,LTU,0.02521414424878253,2820.9809999987483
LUX,LUX,0.016813177544237456,2811.580000001937
LVA,LVA,0.020775822702090538,1740.6619999986142
MAC,MAC,0.043141459456250635,2518.728000000119
MAR,MAR,0.00918299278878637,2715.6490000002086
MCO,MCO,0.00013008803830742463,2.1600000003818423
MDA,MDA,,
MDG,MDG,0.007385788236179454,243.7730000000447
MDV,MDV,0.02915221616082201,233.2600000000093
MEX,MEX,-0.12863586952215772,-413120.0
MKD,MKD,0.017407204710180802,694.9109999993816
MLI,MLI,0.004264935851266937,133.78000000026077
MLT,MLT,0.04177174773600819,1135.845000000205
MMR,MMR,-0.0013977620184866027,-178.40100000053644
MNE,MNE,0.0025542277311802236,40.032000000122935
MNG,MNG,0.021553955017345913,490.82800000021234
MOZ,MOZ,0.002577157024959165,112.77099999971688
MRT,MRT,0.013340984843520599,172.24199999962002
MUS,MUS,0.018297580797906256,641.9009999996051
MWI,MWI,0.007490550754316844,138.39599999971688
MYS,MYS,-0.02801348201470621,-21074.11099998653
NAM,NAM,0.011125160398923424,469.7879999997094
NCL,NCL,0.018434657930620834,585.1579999993555
NER,NER,0.003720652007920096,89.54200000083074
NGA,NGA,0.008102116407898829,5791.945000007749
NIC,NIC,0.014407787527331382,524.8689999994822
NLD,NLD,0.003144507119738587,6230.287000000477
NOR,NOR,0.004850011043593402,5078.296000003815
NPL,NPL,0.006411437239656204,399.2500000009313
NZL,NZL,0.00449182270245011,1896.137999996543
OMN,OMN,0.01472558042935732,2598.2039999961853
PAK,PAK,0.005201697183587587,3399.002999998629
PAN,PAN,0.01976577869812107,2131.103999996558
PER,PER,0.01081525600366244,5137.991999998689
PHL,PHL,-0.014623470827599497,-10231.363000005484
PNG,PNG,0.006297071993137164,271.27799999993294
POL,POL,0.00913351384743711,13734.668999999762
PRK,PRK,0.002778274878642956,101.71900000004098
PRT,PRT,0.007361682280712589,5296.820000007749
PRY,PRY,0.0037880784942302226,322.5320000015199
PSE,PSE,0.007278904729380166,250.43400000035763
PYF,PYF,0.01764489773892977,430.67099999962375
QAT,QAT,0.0027874387332966527,993.8950000032783
ROU,ROU,0.007497697416076889,4322.440000012517
RUS,RUS,0.006979119625993019,34376.75599998236
RWA,RWA,0.0031664018846810837,59.972000000067055
SAU,SAU,0.014802306863188449,23801.967999964952
SDN,SDN,,
SDS,SDS,,
SEN,SEN,0.007951470225229058,514.7149999989197
SGP,SGP,-0.03464037222380331,-34633.66900001466
SLE,SLE,0.0029343344744538528,28.694000000017695
SLV,SLV,0.010965953732141386,887.2020000005141
SMR,SMR,0.005856699040548831,35.85600000002887
SOM,SOM,4.22519961953652e-05,0.14400000002933666
SRB,SRB,0.0049573684088112515,672.2850000020117
STP,STP,0.00877676703923894,8.148999999990338
SUR,SUR,0.0074439724775593,84.23600000003353
SVK,SVK,0.0158239178552945,5244.69999999553
SVN,SVN,0.020867922727639945,3224.7860000021756
SWE,SWE,0.0064972768044792234,9085.646000027657
SWZ,SWZ,0.009983340328962975,153.00699999998324
SYC,SYC,0.023590635203479975,122.41399999993155
SYR,SYR,0.006396773914258371,1176.3659999966621
TCD,TCD,0.004208756418795892,80.14999999967404
TGO,TGO,0.006130724327714073,80.65499999979511
THA,THA,-0.018046416289483003,-20502.65000000596
TJK,TJK,-0.001643064950014816,-30.416999999666587
TKM,TKM,0.01579374573401598,1203.50800000038
TTO,TTO,0.050346584061580386,2789.0690000010654
TUN,TUN,0.013474230592499867,2219.5470000002533
TUR,TUR,0.007189995608570364,17104.32800000906
TWN,TWN,0.011740856536825904,7402.99200001359
TZA,TZA,0.013126801713998033,602.2430000007153
UGA,UGA,0.00510591942078944,344.69700000062585
UKR,UKR,0.0070627037786758625,3384.9719999954104
URY,URY,0.015707141485400297,2171.4439999982715
USA,USA,-0.5056647944826054,-25036686.422002792
UZB,UZB,-0.0016832282513911754,-224.11099999956787
VEN,VEN,-0.0028382623586896494,-2932.8109999895096
VGB,VGB,0.014278614682179192,32.49500000002445
VNM,VNM,0.008112180683049924,2615.8660000003874
VUT,VUT,0.005902251890914266,14.26699999999255
WSM,WSM,0.00842985021329643,16.241000000038184
YEM,YEM,0.010748451778297925,1111.0349999982864
ZAF,ZAF,0.005130442077915261,5646.089000016451
ZMB,ZMB,0.006995297744448596,379.89900000113994
ZWE,ZWE,0.025074035897203223,73.56000000005588
