,import_from_US,difference,relative_loss
VNM,2492467.5,4079528.9999961853,0.012048773704731452
KHM,97596.78125,524753.0,0.011935024039977371
GEO,181928.09375,583807.0,0.011777769097554014
PER,6506155.0,5864882.999992371,0.011757457939731708
PRY,427682.8125,1019052.0,0.01139864443331362
GHA,574101.1875,1363481.9999980927,0.011083951913581913
CHE,24377454.0,19941656.999969482,0.011079573372163587
TUN,664883.75,1876140.9999961853,0.010847153971149659
ZAF,9921930.0,12201417.999984741,0.010559128513509819
QAT,1602103.5,3765269.0,0.010057071422786557
GTM,5003709.5,1647416.9999980927,0.01002492884538686
CHL,11083562.0,6356054.999984741,0.009997989355015058
PNG,89648.015625,440449.9999990463,0.009737139653154259
ALB,42862.3359375,518811.0,0.009727304430251493
KGZ,126151.921875,195897.99999976158,0.00968036420558871
NPL,120575.046875,614322.9999990463,0.009395457815219999
NAM,56969.48828125,415610.9999990463,0.009373506750054439
GUY,41670504.0,11381829.999984741,0.009365081034129474
AZE,508227.0,1262358.9999980927,0.009247250896904369
YEM,285984.125,991459.9999980927,0.009134905741126076
COL,16892810.0,7846276.999984741,0.008994034542331164
ROU,1812890.25,5395970.999992371,0.008914135760118569
UKR,728070.625,4452100.0,0.008846908234416695
MAR,816072.125,2721984.9999923706,0.00876611241209524
SWZ,8654.42578125,140515.99999976158,0.008731745230838861
MYS,24926674.0,6849533.0,0.008671405471538662
NGA,3850180.25,6462495.999984741,0.008609640897816462
COG,325229.1875,260064.99999952316,0.008513843411495081
GBR,80459552.0,65714271.99987793,0.008424846369869954
ARM,208014.6875,242761.99999952316,0.008160873521179113
THA,16681050.0,9552621.999984741,0.008007819350086542
COD,119168.296875,722399.0,0.007978837861633004
BTN,29780.72265625,43104.0,0.007945438813239392
RUS,13699104.0,41088935.999938965,0.007944587398611702
TUR,8523512.0,19679030.999969482,0.007878381729464756
TGO,28355.08984375,108429.99999976158,0.007849475737087275
BWA,61798.484375,452813.9999990463,0.007830315448731362
LKA,327960.5,1601607.9999961853,0.007827727577058852
CIV,118066.28125,481327.9999990463,0.007820512047485018
AUS,68994480.0,28896361.999938965,0.007692983301432754
PSE,171514.96875,275232.99999952316,0.007618753977856052
ARG,11447695.0,9469930.999984741,0.007502983725027335
MDG,142581.78125,258377.0,0.007455483300322641
KEN,463543.875,847447.0,0.0072955596130519496
HTI,837186.875,172447.99999952316,0.007113543188697058
VUT,9368.4521484375,17174.999999970198,0.006766943110569912
ZMB,112265.5703125,385636.9999990463,0.006762814117045046
SGP,55159372.0,7028264.999984741,0.006694881234037275
GIN,145859.0625,108589.99999976158,0.00649164430801541
SRB,332457.5625,913789.9999980927,0.006417337429187597
ESP,19135530.0,30103199.999938965,0.006411029844244354
CUB,11454.427734375,1352373.9999961853,0.006348109694198634
FRA,43000872.0,48216313.99987793,0.006313188248263657
MWI,26188.798828125,121440.99999976158,0.0062598834686511395
SYR,325591.96875,1204307.9999961853,0.0062368716952754255
CMR,193443.265625,517422.9999990463,0.006142811669773707
KAZ,821098.5,2790556.9999923706,0.006122575714795353
VEN,13573674.0,6623817.999984741,0.006105026494163113
SEN,110745.15625,403593.9999990463,0.005937942863587509
IRQ,39727.87890625,3236792.9999923706,0.005727890659024126
DEU,96889536.0,50438952.99987793,0.005638019079445833
IRN,406807.3125,6588721.999984741,0.005217268233281835
CPV,30485.55859375,37194.99999988079,0.005171912486945374
BGD,516358.4375,1754861.0,0.005076570906270561
ITA,25766132.0,31213170.0,0.005072060862709726
BFA,78310.859375,143508.99999952316,0.005023084948097001
LAO,18536.375,104974.99999976158,0.004992827367678032
WSM,28607.09375,9986.999999970198,0.004936883084249999
EGY,4396862.0,4423966.999984741,0.004757118241549563
