,export_to_US,difference,relative_loss
TUN,223179.28125,1876140.9999961853,0.010847153971149659
ZAF,9031918.0,12201417.999984741,0.010559128513509819
QAT,1315698.625,3765269.0,0.010057071422786557
GTM,3631519.0,1647416.9999980927,0.01002492884538686
CHL,12845518.0,6356054.999984741,0.009997989355015058
PNG,38635.859375,440449.9999990463,0.009737139653154259
ALB,29783.265625,518811.0,0.009727304430251493
KGZ,15033.8642578125,195897.99999976158,0.00968036420558871
NPL,218625.84375,614322.9999990463,0.009395457815219999
NAM,52434.66015625,415610.9999990463,0.009373506750054439
GUY,191464.890625,11381829.999984741,0.009365081034129474
AZE,80595.921875,1262358.9999980927,0.009247250896904369
YEM,128836.921875,991459.9999980927,0.009134905741126076
COL,14968792.0,7846276.999984741,0.008994034542331164
ROU,2903864.5,5395970.999992371,0.008914135760118569
UKR,2288586.75,4452100.0,0.008846908234416695
MAR,1859260.125,2721984.9999923706,0.00876611241209524
SWZ,94462.71875,140515.99999976158,0.008731745230838861
MYS,32745824.0,6849533.0,0.008671405471538662
NGA,16905270.0,6462495.999984741,0.008609640897816462
COG,662879.0,260064.99999952316,0.008513843411495081
GBR,75386728.0,65714271.99987793,0.008424846369869954
ARM,35924.4609375,242761.99999952316,0.008160873521179113
THA,35170032.0,9552621.999984741,0.008007819350086542
COD,698605.9375,722399.0,0.007978837861633004
BTN,4587.94970703125,43104.0,0.007945438813239392
RUS,22771946.0,41088935.999938965,0.007944587398611702
TUR,11011815.0,19679030.999969482,0.007878381729464756
TGO,8957.3955078125,108429.99999976158,0.007849475737087275
BWA,27407.3359375,452813.9999990463,0.007830315448731362
LKA,2933188.25,1601607.9999961853,0.007827727577058852
CIV,846075.75,481327.9999990463,0.007820512047485018
AUS,26575806.0,28896361.999938965,0.007692983301432754
PSE,12680.73046875,275232.99999952316,0.007618753977856052
ARG,7470963.0,9469930.999984741,0.007502983725027335
MDG,340579.25,258377.0,0.007455483300322641
KEN,282748.53125,847447.0,0.0072955596130519496
HTI,605633.375,172447.99999952316,0.007113543188697058
VUT,4439.9619140625,17174.999999970198,0.006766943110569912
ZMB,40814.953125,385636.9999990463,0.006762814117045046
SGP,41111896.0,7028264.999984741,0.006694881234037275
GIN,64770.58203125,108589.99999976158,0.00649164430801541
SRB,173389.515625,913789.9999980927,0.006417337429187597
