,region,consumption_deviation,consumption_loss
ROU,ROU,0.008749128620192463,5043.893000014126
RUS,RUS,0.0076183771705512545,37525.52000004053
RWA,RWA,0.0029113347282475454,55.14099999982864
SAU,SAU,0.015658556354198397,25178.80900004506
SDN,SDN,,
SDS,SDS,,
SEN,SEN,0.006024449648989912,389.97499999869615
SGP,SGP,-0.014233148242291917,-14230.394000008702
SLE,SLE,0.004031923235645476,39.426999999792315
SLV,SLV,0.013056055846541431,1056.3020000001416
SMR,SMR,0.010756228949622079,65.8519999999553
SOM,SOM,0.00028872197392480623,0.9839999999385327
SRB,SRB,0.005340111155185214,724.1899999994785
STP,STP,0.004719572115086944,4.381999999983236
SUR,SUR,0.012776333264732691,144.57700000004843
SVK,SVK,0.02041591339854709,6766.676999997348
SVN,SVN,0.02388027946728292,3690.295000001788
SWE,SWE,0.01149199301322944,16070.144999980927
SWZ,SWZ,0.010793454595134469,165.42299999995157
SYC,SYC,0.020743702223105894,107.64100000000326
SYR,SYR,0.006468138830352223,1189.4900000020862
TCD,TCD,0.003535880501768508,67.33599999989383
TGO,TGO,0.005518754064712221,72.60399999981746
THA,THA,-0.0004880880647509424,-554.5199999958277
TJK,TJK,0.0066074255062268826,122.31899999990128
TKM,TKM,0.021945837956380176,1672.3070000000298
TTO,TTO,0.03742122619759577,2073.037999997847
TUN,TUN,0.013304766667202208,2191.6319999992847
TUR,TUR,0.007203897793721643,17137.40000000596
TWN,TWN,0.02281469277147974,14385.406000003219
TZA,TZA,0.013237026716643143,607.3000000007451
UGA,UGA,0.005684462009838847,383.75400000065565
UKR,UKR,0.008837833600896692,4235.745999991894
URY,URY,0.01719032014974367,2376.486999999732
USA,USA,-0.25568888937251494,-12659775.042001724
UZB,UZB,0.0008357370107417815,111.27299999818206
VEN,VEN,-0.004861493176062202,-5023.439999997616
VGB,VGB,0.015161827961492671,34.50500000003376
VNM,VNM,0.010765440015036525,3471.440000001341
VUT,VUT,0.007583940678787874,18.331999999994878
WSM,WSM,0.005170751051360652,9.962000000057742
YEM,YEM,0.01024047524653267,1058.5269999988377
ZAF,ZAF,0.010532797843100478,11591.421000018716
ZMB,ZMB,0.008104973272066971,440.16300000064075
