,region,consumption_deviation,consumption_loss
MDA,MDA,,
MDG,MDG,0.007828257465352645,258.3770000003278
MDV,MDV,0.025448262502438656,203.62300000013784
MEX,MEX,-0.06513131531897931,-209172.2089999318
MKD,MKD,0.018379327471807507,733.719000000041
MLI,MLI,0.003908004906501833,122.5840000002645
MLT,MLT,0.03977838240665087,1081.6420000004582
MMR,MMR,0.000746850459842143,95.32299999892712
MNE,MNE,0.003299721256643274,51.71600000024773
MNG,MNG,0.018603585393344124,423.6419999995269
MOZ,MOZ,0.0023174096897013623,101.40500000026077
MRT,MRT,0.015828216211606308,204.3540000000503
MUS,MUS,0.018048130914553377,633.1499999989755
MWI,MWI,0.006572877642111492,121.44100000010803
MYS,MYS,0.009104975745119832,6849.533000007272
NAM,NAM,0.00984218208756932,415.61099999956787
NCL,NCL,0.021907439781555887,695.3919999995269
NER,NER,0.004365207121068244,105.05399999953806
NGA,NGA,0.009040122942736085,6462.496000006795
NIC,NIC,0.014524011904080552,529.1030000001192
NLD,NLD,0.013961253124041261,27661.763999968767
NOR,NOR,0.016962354674194092,17760.755000010133
NPL,NPL,0.009865230706006747,614.3230000007898
NZL,NZL,0.01661944646117343,7015.5849999934435
OMN,OMN,0.01941616535707499,3425.81799999997
PAK,PAK,0.0049849707047497265,3257.384999997914
PAN,PAN,0.02278617804535158,2456.7570000011474
PER,PER,0.012345330836746759,5864.883000001311
PHL,PHL,-0.003225127723971796,-2256.472000002861
PNG,PNG,0.010223996635824718,440.44999999925494
POL,POL,0.013953079692766298,20982.16899999976
PRK,PRK,0.0031168770441330354,114.11600000038743
PRT,PRT,0.013245071291496794,9529.989999994636
PRY,PRY,0.011968576654971023,1019.0519999992102
PSE,PSE,0.007999691676750341,275.2329999995418
PYF,PYF,0.018680596381171113,455.95000000018626
QAT,QAT,0.010559924993958912,3765.2690000087023
ROU,ROU,0.00935984254816048,5395.971000008285
RUS,RUS,0.008341816768541076,41088.93599998951
RWA,RWA,0.003357794648515762,63.597000000299886
SAU,SAU,0.019769466975938534,31789.114000052214
SDN,SDN,,
SDS,SDS,,
SEN,SEN,0.006234840006769678,403.5939999995753
SGP,SGP,0.0070296252957619525,7028.265000000596
SLE,SLE,0.004634150032895469,45.3159999998752
SLV,SLV,0.014669859409924635,1186.8670000005513
SMR,SMR,0.014508135937605532,88.82199999992736
SOM,SOM,0.00034417771894083003,1.1730000000097789
SRB,SRB,0.006738204300660652,913.7899999991059
STP,STP,0.0023285520111615138,2.162000000011176
SUR,SUR,0.013576350868151557,153.6300000003539
SVK,SVK,0.020799272375537983,6893.737999998033
SVN,SVN,0.023770885469139625,3673.3900000024587
SWE,SWE,0.012978947666156627,18149.469000041485
SWZ,SWZ,0.009168332492404457,140.51600000006147
SYC,SYC,0.021033733640928746,109.14600000000792
SYR,SYR,0.006548715280080928,1204.3080000020564
TCD,TCD,0.004888248721480672,93.08999999985099
TGO,TGO,0.00824194952394642,108.42999999970198
THA,THA,0.00840821031758889,9552.62199999392
TJK,TJK,0.000668472523807615,12.375
TKM,TKM,0.019064059531804393,1452.7110000001267
TTO,TTO,0.049407496379371516,2737.045999999158
TUN,TUN,0.011389511669735107,1876.1409999988973
TUR,TUR,0.008272300815967477,19679.03100001812
TWN,TWN,0.028076305506170744,17703.024000011384
TZA,TZA,0.01410548726742803,647.1440000003204
UGA,UGA,0.004715558336993574,318.3439999995753
UKR,UKR,0.009289253646144182,4452.10000000149
URY,URY,0.018490013837764805,2556.1640000008047
USA,USA,-0.14080064517751276,-6971380.32900238
UZB,UZB,0.0031844499514858005,423.98899999819696
VEN,VEN,0.006410277818901723,6623.818000018597
VGB,VGB,0.026100490337152726,59.398999999975786
VNM,VNM,0.012651212389992651,4079.529000002891
VUT,VUT,0.007105290266087121,17.174999999959255
WSM,WSM,0.005183727238466875,9.986999999993714
YEM,YEM,0.00959165102821901,991.4600000008941
ZAF,ZAF,0.011087084939205724,12201.418000012636
ZMB,ZMB,0.007100954822909663,385.6370000001043
ZWE,ZWE,0.025561813838570372,74.99099999997998
