State,Sector,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL,Management of companies and enterprises,634.4,538.3,572.7,602.8,681.6,722.7,900.0,1050.7,1119.8,1258.8,1420.5,1408.3,1493.6,1662.1,1748.5,1859.5,1840.4,1756.8,1816.8,2012.5,2183.0,2145.4,2251.9
AL,Administrative and support and waste management and remediation services,1992.6,2131.6,2279.5,2452.5,2588.3,2737.5,2949.1,3196.0,3595.1,3760.0,4081.8,4260.5,4057.5,4599.9,4704.4,4803.5,4867.7,5076.3,5182.6,5287.0,5701.7,5977.9,6356.3
AL,Educational services,459.6,481.6,537.1,577.9,586.3,614.6,667.5,765.1,768.8,823.9,905.7,941.5,1075.1,1137.7,1170.3,1197.9,1217.3,1270.0,1293.1,1379.2,1334.2,1332.0,1398.5
AL,Health care and social assistance,6562.9,6823.7,6991.0,7399.9,7807.9,8388.3,8708.2,9368.3,9899.3,10578.7,10929.9,11685.7,12271.6,12627.9,13066.3,13394.5,13749.2,14040.3,14721.4,15311.3,15704.8,16463.5,17218.5
AL,"Arts, entertainment, and recreation",395.1,412.2,440.1,452.0,437.8,466.3,485.9,494.3,527.6,552.3,581.7,596.7,611.1,612.5,620.7,670.8,671.9,703.7,706.2,760.1,781.9,819.1,869.7
AL,Accommodation and food services,2125.6,2336.8,2564.0,2690.9,2834.2,2952.7,3067.9,3208.2,3509.0,3754.9,3905.1,3921.6,3970.1,4128.8,4352.1,4703.4,4883.6,5149.8,5593.6,5890.8,6087.3,6306.1,6230.2
AL,Other services (except government and government enterprises),2863.7,3229.2,3324.0,3494.7,3330.9,3546.6,3622.0,3978.9,4289.3,4494.0,4552.2,4566.1,4590.6,4718.4,4751.1,4835.8,4873.8,5047.1,5166.3,5205.4,5343.4,5666.8,5780.9
AL,Government and government enterprises,17227.0,17925.3,18753.4,19365.8,19843.6,21283.7,22601.6,23800.7,25180.5,26315.3,28445.1,29484.2,30960.0,31453.1,32008.1,31952.6,32186.6,33052.1,33895.7,34550.8,35488.1,36598.0,38200.8
AK,All industry total,25800.0,24227.6,24779.3,26815.8,28455.4,29633.4,31789.7,34987.9,39788.7,44457.1,49002.6,54759.0,49651.6,52947.7,56333.9,57717.5,56625.3,55750.6,50728.1,49755.6,51737.0,54292.9,54385.6
AK,"Agriculture, forestry, fishing and hunting",431.8,341.6,364.0,417.2,353.6,312.3,336.0,304.1,345.2,370.2,337.4,373.4,371.9,459.8,538.2,497.5,509.1,494.2,458.5,400.9,398.1,387.5,394.4
AK,"Mining, quarrying, and oil and gas extraction",5680.3,3252.6,3236.2,4485.7,4037.3,4560.3,5219.6,7247.7,10398.9,13820.0,16463.6,20374.8,14420.5,15688.1,18197.5,18212.6,16288.7,14184.1,7737.1,6464.8,8085.4,8749.6,7363.7
AK,Utilities,401.6,386.8,419.1,411.2,412.5,397.4,409.1,446.6,448.6,506.1,506.1,541.5,620.2,660.3,748.6,741.6,749.5,779.3,762.0,778.9,781.5,810.4,849.5
AK,Construction,1119.4,1164.0,1213.7,1277.2,1430.3,1543.7,1713.5,1842.6,2038.5,2038.4,2125.5,2073.6,2176.0,2134.1,2044.7,2007.1,1906.1,2014.0,2131.1,1976.7,1853.5,1955.8,2057.3
AK,Manufacturing,869.6,1118.9,883.0,829.1,947.3,918.6,1101.2,1222.0,1265.3,1398.6,1546.4,1475.6,1451.3,1102.9,963.4,983.2,1316.7,1590.7,1826.8,1553.3,1671.3,1864.6,1831.6
AK,Wholesale trade,695.3,732.1,746.8,764.1,718.5,719.0,733.1,811.0,885.6,964.2,1042.7,1089.4,1013.8,1108.0,1144.8,1164.3,1243.2,1258.2,1271.7,1269.6,1279.1,1390.4,1516.9
AK,Retail trade,1465.1,1515.4,1559.1,1551.1,1647.9,1748.4,1821.1,1773.5,1864.4,1869.0,1883.6,1880.9,1947.6,1993.4,2005.9,2038.9,2076.7,2113.9,2221.4,2217.5,2225.9,2290.3,2357.7
AK,Transportation and warehousing,2565.8,2846.4,2886.8,2816.4,3696.8,3071.4,3180.6,3338.1,3329.3,3642.5,4196.2,4882.2,4443.2,5452.6,5059.5,5433.0,5507.0,5670.6,6120.2,6595.4,6814.5,7198.4,7488.5
AK,Information,638.3,691.0,717.4,774.9,764.8,826.7,875.2,975.9,1064.5,1076.0,1115.1,1161.8,1097.4,1123.3,1152.0,1172.6,1272.3,1293.9,1423.7,1371.1,1293.2,1126.7,1116.8
AK,Finance and insurance,872.9,927.4,922.0,985.9,911.0,996.0,1154.0,1037.8,1316.8,1174.9,1133.9,1068.5,1110.4,1090.0,1115.4,1168.7,1166.9,1302.6,1285.5,1258.3,1343.7,1454.8,1429.0
AK,Real estate and rental and leasing,2178.7,2148.2,2348.6,2464.8,2678.0,2784.5,2823.3,2900.3,3019.2,3074.7,3378.9,3572.7,3900.5,4299.3,4596.1,4695.2,4826.3,4898.9,4954.1,5141.2,4936.3,5179.7,5479.4
AK,"Professional, scientific, and technical services",754.6,787.7,819.9,849.5,986.7,1075.7,1120.0,1201.3,1271.9,1327.3,1464.5,1717.3,1793.6,1912.5,2045.7,2096.8,2132.9,2132.4,2129.1,1912.9,1894.4,1853.3,1927.7
AK,Management of companies and enterprises,155.1,158.1,173.4,198.4,243.4,217.4,180.0,194.7,195.4,251.4,266.7,283.7,301.5,327.7,335.1,358.5,364.2,366.8,382.5,358.5,364.5,361.4,386.3
AK,Administrative and support and waste management and remediation services,468.9,444.8,460.4,483.2,542.3,570.6,597.5,623.8,692.6,711.6,802.9,877.3,942.5,1028.2,1040.7,1068.5,1080.8,1083.0,1106.4,1049.0,1040.6,1021.2,1050.8
AK,Educational services,77.4,79.9,92.2,97.1,109.9,118.4,124.4,131.9,131.5,138.2,141.5,146.5,157.2,170.2,174.9,181.5,188.1,187.3,191.4,197.4,200.6,202.7,212.6
AK,Health care and social assistance,975.6,1025.5,1087.8,1228.0,1465.1,1618.8,1801.4,1986.3,2084.2,2196.8,2295.1,2477.0,2698.2,2878.2,3126.8,3304.8,3459.3,3469.2,3665.2,3882.5,4044.8,4274.7,4433.5
AK,"Arts, entertainment, and recreation",123.4,107.6,115.7,125.9,124.8,137.6,152.4,164.8,177.0,179.4,199.5,208.4,210.0,218.2,244.6,264.0,290.4,293.7,298.6,311.6,319.5,332.4,340.3
AK,Accommodation and food services,623.5,681.0,751.5,819.6,861.5,951.5,986.3,1012.6,1034.2,1104.2,1167.2,1299.2,1222.9,1231.8,1223.0,1305.0,1348.4,1428.5,1538.7,1549.1,1500.9,1573.9,1624.0
AK,Other services (except government and government enterprises),545.4,570.7,598.3,629.9,602.2,662.2,643.2,654.5,677.4,698.8,703.7,697.2,726.0,743.2,741.8,779.7,810.0,849.7,865.5,860.6,877.5,911.3,937.4
AK,Government and government enterprises,5157.5,5247.9,5383.5,5606.7,5921.4,6403.1,6817.8,7118.2,7548.4,7914.8,8232.0,8557.8,9046.8,9326.1,9835.1,10244.1,10088.6,10339.5,10358.4,10606.3,10811.7,11353.8,11588.3
