Sector,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Information,2.3986821818220134,2.3872484525949025,2.3739800686963584,2.3537440541861687,2.3451990119121575,2.3553128885873362,2.3458817180070555,2.3465810406496663,2.36120611655415,2.348876621469709,2.3470498801817827,2.3688537980485336,2.379666879424139,2.4025758200093823,2.4074436816420044,2.3887709507429173,2.385980474643919,2.3878060326031267,2.3804813586136198,2.376951462369707,2.3622527122703887,2.3357003875766074,2.3245670223291834
Management of companies and enterprises,1.6915468603759938,1.6740532001244353,1.6511896887766095,1.628295959759798,1.6117741266713574,1.5948193479329869,1.545999635629672,1.5131311886479135,1.4852424387995908,1.4637902924729282,1.439943012431588,1.4052442174439126,1.3730801398604022,1.3416662001899837,1.3040921880494285,1.2703242822156613,1.2400240791976613,1.20152029831849,1.1586740209354478,1.13899557154898,1.1162850966181748,1.0986691177079295,1.0830526631834927
Manufacturing,1.4753956527687007,1.4984116999647796,1.5099494019565225,1.5167006530162,1.5219862047062265,1.524589228079773,1.5423079730727107,1.5714835814394523,1.6072649428153742,1.635251043378227,1.6512864977955424,1.6640577375872716,1.6814197077402624,1.7001356564732446,1.7147930089421646,1.7373279445536984,1.7551308401024006,1.7565049454025605,1.7546517922494804,1.7556489311505956,1.7566857252821815,1.7588973526278553,1.75991435882635
"Mining, quarrying, and oil and gas extraction",5.750633907035694,5.870471932827713,5.834196908508029,5.805000965590766,5.762779756167255,5.707498992630055,5.643198266916727,5.409550228906491,5.323625494986252,5.317688231216468,5.2805084553906525,5.159046850686797,5.127689520741956,5.124000045647961,5.432729488264155,5.899729175651209,6.191361523702065,6.386925206516786,6.486799425005726,6.635792523946597,6.850852377296173,7.0788247148028764,7.374799923413101
Other services (except government and government enterprises),1.2556988559930669,1.27269791086232,1.2974046013344223,1.3241935644112837,1.352901014290777,1.3814651484290823,1.4294433032618432,1.485183123676574,1.532125092579195,1.577866725277356,1.609147172194558,1.6390717940342259,1.6626887040265017,1.676047010657398,1.680597504491248,1.6831936201551123,1.6790462105574904,1.6659636204824841,1.6548935438116097,1.650554631487819,1.6442812677581506,1.6424729626371342,1.635916149061691
"Professional, scientific, and technical services",0.445769780007266,0.45215898107626745,0.45882662739653457,0.4643369141109776,0.46961595662668565,0.4738499050434351,0.4833997986246962,0.4906185049045827,0.498474833288211,0.5044543821697274,0.5087722243806864,0.5109198932931557,0.5127112474857827,0.5125449964398615,0.5096622886025393,0.5068346244634702,0.5048951568676776,0.5048287208552236,0.502019372651443,0.4991149601668224,0.4967900157636971,0.4955340643662298,0.49199873388653365
Real estate and rental and leasing,8.634718161472192,8.649585821234519,8.713245696741398,8.836099462952992,8.969289099878463,9.098444979787512,9.234651312310225,9.296842346296163,9.338055543515564,9.354500332964184,9.348761360795914,9.32918801541113,9.296640102642156,9.208893796507706,9.07285527332198,8.932252902915996,8.837220212471838,8.796148324029451,8.76941305423582,8.756792754060934,8.775365815302855,8.810676550889218,8.817501672355267
Retail trade,0.9353405141343034,0.9480889809518319,0.9579532052007856,0.975469477292678,0.9935467757693801,1.0144531273886748,1.051393829183337,1.1005523611764412,1.1439343517929679,1.1810728936756356,1.2171427093290839,1.248520136600586,1.2767655948606278,1.2968580378777528,1.3097571974621987,1.3152224161490786,1.3149745463829956,1.3039178455230125,1.295794678581664,1.2922427494250928,1.2851819644372324,1.2794071611061948,1.2760428324080733
Transportation and warehousing,2.7206108039694685,2.7355894967699435,2.730283604697333,2.714509001631342,2.695830745902567,2.6712145558247893,2.642106848468946,2.6310675219039874,2.626902341368361,2.613233458921523,2.588126515899104,2.5549779581499257,2.5312749495432185,2.515060362040786,2.493614669318839,2.483257836233626,2.467428800318242,2.443081857711481,2.4059460025649577,2.39233698087898,2.3768052028500137,2.362206319931367,2.345671012220829
Utilities,5.708039994455513,5.8168402964752035,5.895812862972848,5.971710221047752,6.077047960666184,6.1185443918530575,6.2557993693954295,6.396306189001139,6.522025458822833,6.6120191925754055,6.7001613190522535,6.802282973525104,6.907827052826194,7.003109543805751,7.069008045510754,7.204244008600102,7.30952879312059,7.4072903000750525,7.560220640207211,7.65939018396434,7.755734637822197,7.8091169644679175,7.873121616050967
Wholesale trade,0.5630070734099696,0.5654518112297467,0.5654943344609704,0.5649901537190346,0.5656467467751319,0.5664345656494683,0.5659522794615401,0.5673715181474827,0.5692431765899698,0.5686722405664585,0.5664235646358478,0.5620272883646316,0.5576316717344536,0.5535268446274884,0.5477989525073557,0.544723475510305,0.5444999784784599,0.5440369086620302,0.543020848551847,0.5421201083005115,0.541148338393305,0.5422105670757099,0.5456134436639061
