region,total_export,total_import,export_to_US,import_from_US,us_import_share,us_export_share,us_trade_balance,us_trade_volume
PRK,3085640.0,1395692.0,2026.8111572265625,7244.0625,0.0051903016568125345,0.0006568527622232543,-5217.2513427734375,9270.873657226562
COD,3506100.0,8202320.0,698605.9375,119168.296875,0.014528608597933267,0.19925442443170474,579437.640625,817774.234375
DNK,174734272.0,159715648.0,13196676.0,5844552.5,0.0365934870702212,0.0755242566266565,7352123.5,19041228.5
DJI,460551.0,549434.25,4742.044921875,17768.50390625,0.03233963646469073,0.010296459940104353,-13026.458984375,22510.548828125
DOM,9229352.0,14394152.0,7328240.5,5625808.0,0.39083983551097695,0.7940146285459694,1702432.5,12954048.5
ECU,20996664.0,20580784.0,5505866.5,4306713.5,0.2092589621464372,0.2622257754850961,1199153.0,9812580.0
EGY,31116288.0,46165344.0,2677884.5,4396862.0,0.09524161674177062,0.08606053845497252,-1718977.5,7074746.5
SLV,4667700.0,10457180.0,1976496.75,3206414.5,0.3066232483327245,0.4234412558647728,-1229917.75,5182911.25
ERI,698137.0,485459.5,7229.68017578125,31132.8828125,0.06413075202462822,0.010355675427288985,-23903.20263671875,38362.56298828125
EST,17811996.0,18696760.0,713513.125,318815.875,0.01705193172506894,0.040058010623851475,394697.25,1032329.0
ETH,3015130.75,4736057.5,126496.6328125,301233.75,0.06360432701672224,0.04195394604777919,-174737.1171875,427730.3828125
FJI,1577795.0,1987697.0,199183.609375,49746.1796875,0.025027043703089554,0.12624175471148028,149437.4296875,248929.7890625
FIN,129050624.0,112597728.0,8590415.0,5584112.0,0.04959346959469733,0.06656624147745306,3006303.0,14174527.0
FRA,882020864.0,846682624.0,64796984.0,43000872.0,0.05078747429213806,0.07346423043344244,21796112.0,107797856.0
PYF,840704.0,2520064.0,196251.0625,286803.9375,0.11380819594264273,0.23343657517984928,-90552.875,483055.0
GAB,5898064.0,3922308.0,2489472.5,332997.375,0.08489832389501284,0.4220829919783848,2156475.125,2822469.875
GMB,147590.5,416379.25,2198.900390625,13441.0615234375,0.03228081496241107,0.014898658047943466,-11242.1611328125,15639.9619140625
GEO,4757358.0,7010954.0,111357.578125,181928.09375,0.025949121011206177,0.023407441299351447,-70570.515625,293285.671875
DEU,2120506368.0,1666195456.0,174664544.0,96889536.0,0.058150162186014265,0.08236926171777476,77775008.0,271554080.0
GHA,8595572.0,11148500.0,1170113.25,574101.1875,0.05149582342916088,0.13612977123570136,596012.0625,1744214.4375
GRC,47981984.0,105014592.0,2520603.25,2815631.5,0.02681181201941917,0.052532284825904656,-295028.25,5336234.75
GRL,842340.0,1705571.0,6972.43701171875,7619.19287109375,0.004467238755287086,0.008277461608992509,-646.755859375,14591.6298828125
